<b>cable</b><div style='font-size:0.85em;color:#666'>Two or more insulated conductors inside a common outer sheath.</div><div style='font-size:0.85em'><i>I need five metres of cable.</i></div>	<div dir='rtl' style='font-size:1.6em'>כבל</div><div style='color:#666'>kevel</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>כבלים</span></div><div dir='rtl' style='margin-top:0.5em'>אני צריך חמישה מטר כבל.</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>כבל is the sheathed multi-core thing; a single conductor is חוט. Suppliers hold the distinction.</div>	electrical trade high cables
<b>wire (single conductor)</b><div style='font-size:0.85em;color:#666'>A single insulated conductor, sold by the metre off a reel, pulled through conduit.</div><div style='font-size:0.85em'><i>Do you have 1.5mm red wire?</i></div>	<div dir='rtl' style='font-size:1.6em'>חוט</div><div style='color:#666'>khut</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>חוטים</span></div><div dir='rtl' style='margin-top:0.5em'>יש לכם חוט אדום אחד וחצי?</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Same word as thread/string in everyday Hebrew. This is the category for rewiring inside existing conduit; כבל is for a run you lay yourself.</div>	electrical trade high cables
<b>core / conductor within a cable</b><div style='font-size:0.85em;color:#666'>One of the individual insulated conductors inside a cable. A 3-core cable is כבל תלת גידי or כבל 3 גידים.</div><div style='font-size:0.85em'><i>Three-core or five-core?</i></div>	<div dir='rtl' style='font-size:1.6em'>גיד</div><div style='color:#666'>gid</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>גידים</span></div><div dir='rtl' style='margin-top:0.5em'>כבל תלת גידי או חמישה גידים?</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Literally 'tendon/sinew'. This is the word that lets you read a cable spec out loud.</div>	electrical trade medium cables
<b>cable size, e.g. 3 x 1.5mm²</b><div style='font-size:0.85em;color:#666'>How a cable spec is said at the counter: number of cores 'by' cross-section in mm².</div><div style='font-size:0.85em'><i>Ten metres of 3x1.5 cable please.</i></div>	<div dir='rtl' style='font-size:1.6em'>3 על 1.5</div><div style='color:#666'>shalosh al ekhad va-khetzi</div><div dir='rtl' style='margin-top:0.5em'>תן לי בבקשה עשרה מטר כבל 3 על 1.5.</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>The mm² goes unsaid — nobody says מילימטר רבוע across a counter. על here is just the multiplication 'by'.</div>	electrical trade medium cables
<b>cross-section (of a conductor)</b><div style='font-size:0.85em;color:#666'>Conductor cross-sectional area in mm² — the number that decides how much current the cable carries.</div><div style='font-size:0.85em'><i>What's the cross-section of this cable?</i></div>	<div dir='rtl' style='font-size:1.6em'>חתך</div><div style='color:#666'>khatakh</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>חתכים</span></div><div dir='rtl' style='margin-top:0.5em'>מה החתך של הכבל הזה?</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Appears on spec sheets and filter menus. Spoken, people just say the number.</div>	electrical formal medium cables
<b>flexible cable</b><div style='font-size:0.85em;color:#666'>Stranded-core cable that bends without breaking — appliance leads, extension leads, anything that moves.</div><div style='font-size:0.85em'><i>For that you want flexible cable, not solid wire.</i></div>	<div dir='rtl' style='font-size:1.6em'>כבל גמיש</div><div style='color:#666'>kevel gamish</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>כבלים גמישים</span></div><div dir='rtl' style='margin-top:0.5em'>לזה עדיף כבל גמיש, לא חוט קשיח.</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>The category for a lead you terminate yourself. Often written כבל גמיש PVC.</div>	electrical trade high cables
<b>control cable</b><div style='font-size:0.85em;color:#666'>Multi-core signalling cable for switching and control circuits rather than carrying load — panels, motors, gate controllers.</div>	<div dir='rtl' style='font-size:1.6em'>כבל פיקוד</div><div style='color:#666'>kevel pikud</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>כבלי פיקוד</span></div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>פיקוד = command/control. Not needed for domestic DIY; shows up wiring a gate motor or boiler controller.</div>	electrical trade medium cables
<b>power cable</b><div style='font-size:0.85em;color:#666'>Cable that carries load current, as opposed to signal or control.</div>	<div dir='rtl' style='font-size:1.6em'>כבל כוח</div><div style='color:#666'>kevel koakh</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>כבלי כוח</span></div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Trap: כבל חשמל is the everyday phrase for an appliance's power lead, while כבל כוח on a supplier's site means installation-grade cable. Searching כבל חשמל gets you kettle leads.</div>	electrical trade medium cables
<b>low voltage (LV)</b><div style='font-size:0.85em;color:#666'>In distribution terms, up to 1kV — which includes ordinary 230V mains.</div>	<div dir='rtl' style='font-size:1.6em'>מתח נמוך</div><div style='color:#666'>metakh namukh</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>False friend. To an electrician מתח נמוך still means mains; the 12V/24V stuff an English speaker calls 'low voltage' is מתח נמוך מאוד or just '12 וולט'.</div>	electrical formal high cables
<b>medium voltage (MV)</b><div style='font-size:0.85em;color:#666'>Distribution voltage between LV and HV, roughly 1kV–36kV. Utility and industrial only.</div>	<div dir='rtl' style='font-size:1.6em'>מתח ביניים</div><div style='color:#666'>metakh beinayim</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>If a category is מתח ביניים it is not for you. Useful purely as a signpost to skip.</div>	electrical formal high cables
<b>fire-resistant cable</b><div style='font-size:0.85em;color:#666'>Cable that keeps a circuit alive during a fire — required for life-safety systems. Usually the orange one.</div>	<div dir='rtl' style='font-size:1.6em'>כבל חסין אש</div><div style='color:#666'>kevel khasin esh</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>כבלים חסיני אש</span></div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>חסין = immune/resistant, same root as חיסון (vaccine). Distinct from כבל נטול הלוגן (halogen-free), which is about smoke toxicity rather than circuit survival.</div>	electrical trade medium cables
<b>cable accessories</b><div style='font-size:0.85em;color:#666'>Termination and jointing hardware: lugs, glands, sleeves, ties, joints.</div>	<div dir='rtl' style='font-size:1.6em'>אביזרים לכבלים</div><div style='color:#666'>avizarim le-kvalim</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>אביזר is the general word for a fitting across every trade — אביזרי אינסטלציה for plumbing, אביזרי חשמל for sockets and switches.</div>	electrical trade high cables
<b>cable lug / ring terminal</b><div style='font-size:0.85em;color:#666'>The crimped metal end fitting that lets a stranded conductor be bolted to a terminal — the items pictured under אביזרים לכבלים.</div>	<div dir='rtl' style='font-size:1.6em'>נעל כבל</div><div style='color:#666'>na'al kevel</div><div style='font-size:0.85em;color:#888'>f · pl. <span dir='rtl'>נעלי כבל</span></div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Literally 'cable shoe', same metaphor as German Kabelschuh. Crimping is לכווץ, with a מכווץ.</div>	electrical trade medium cables
<b>shielded / screened</b><div style='font-size:0.85em;color:#666'>Has a braid or foil screen against interference — the tinned braid visible on the כבל פיקוד in the photo.</div>	<div dir='rtl' style='font-size:1.6em'>מסוכך</div><div style='color:#666'>mesukhakh</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Root סכך, to shade or cover, as in סוכה. Feminine מסוככת.</div>	electrical trade medium cables
<b>armoured</b><div style='font-size:0.85em;color:#666'>Has a steel wire or tape armour layer for direct burial or mechanical protection.</div>	<div dir='rtl' style='font-size:1.6em'>משוריין</div><div style='color:#666'>meshuryan</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Same word as an armoured vehicle — רכב משוריין. Sticks first time here.</div>	electrical trade medium cables
<b>stranded (vs solid)</b><div style='font-size:0.85em;color:#666'>Conductor made of many fine strands twisted together, hence flexible. The opposite — solid — is קשיח or מלא.</div>	<div dir='rtl' style='font-size:1.6em'>שזור</div><div style='color:#666'>shazur</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Needs checking: confirm whether a supplier's shelf label says שזור or גדילי. Spec sheets and speech may differ.</div>	electrical trade low cables
<b>conductor</b><div style='font-size:0.85em;color:#666'>The metal that carries the current; also the adjective 'conductive'.</div>	<div dir='rtl' style='font-size:1.6em'>מוליך</div><div style='color:#666'>molikh</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>מוליכים</span></div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Causative of הוליך, to lead. מוליך פאזה = live conductor, מוליך הארקה = earth conductor.</div>	electrical formal high theory
<b>insulation</b><div style='font-size:0.85em;color:#666'>The insulating layer; also thermal and acoustic insulation in building work.</div><div style='font-size:0.85em'><i>You need to strip the insulation.</i></div>	<div dir='rtl' style='font-size:1.6em'>בידוד</div><div style='color:#666'>bidud</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>בידודים</span></div><div dir='rtl' style='margin-top:0.5em'>צריך לקלף את הבידוד.</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>One word covers three trades: בידוד תרמי, בידוד אקוסטי, and electrical. Stripping it is לקלף, to peel.</div>	electrical trade high theory
<b>earth / ground</b><div style='font-size:0.85em;color:#666'>Earthing, and the earth conductor — the green-yellow one.</div><div style='font-size:0.85em'><i>There's no earth here.</i></div>	<div dir='rtl' style='font-size:1.6em'>הארקה</div><div style='color:#666'>ha'araka</div><div style='font-size:0.85em;color:#888'>f · pl. <span dir='rtl'>הארקות</span></div><div dir='rtl' style='margin-top:0.5em'>אין פה הארקה.</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>From ארץ. The wire itself is חוט הארקה, colour ירוק-צהוב.</div>	electrical trade high wiring
<b>neutral</b><div style='font-size:0.85em;color:#666'>The neutral conductor. Literally 'zero'.</div><div style='font-size:0.85em'><i>The live and neutral are swapped here.</i></div>	<div dir='rtl' style='font-size:1.6em'>אפס</div><div style='color:#666'>efes</div><div style='font-size:0.85em;color:#888'>m</div><div dir='rtl' style='margin-top:0.5em'>הפאזה והאפס מתחלפים פה.</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Nobody says נייטרלי about wiring. Colour blue (כחול); in older installations, black.</div>	electrical trade high wiring
<b>live / phase</b><div style='font-size:0.85em;color:#666'>The live conductor. Also 'phase' as in single- vs three-phase supply — חד פאזי / תלת פאזי.</div><div style='font-size:0.85em'><i>Do you have three-phase in the flat?</i></div>	<div dir='rtl' style='font-size:1.6em'>פאזה</div><div style='color:#666'>faza</div><div style='font-size:0.85em;color:#888'>f · pl. <span dir='rtl'>פאזות</span></div><div dir='rtl' style='margin-top:0.5em'>יש לך שלוש פאזות בדירה?</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Universally borrowed; no native word in use. Colour brown (חום) in new work.</div>	electrical trade high wiring
<b>circuit breaker (MCB)</b><div style='font-size:0.85em;color:#666'>The individual breaker for one circuit, in the consumer unit.</div><div style='font-size:0.85em'><i>My breaker tripped.</i></div>	<div dir='rtl' style='font-size:1.6em'>אוטומט</div><div style='color:#666'>otomat</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>אוטומטים</span></div><div dir='rtl' style='margin-top:0.5em'>קפץ לי האוטומט.</div><div style='font-size:0.8em;color:#888;margin-top:0.4em'><span dir='rtl'>מא"ז</span> (formal) — Acronym for מפסק אוטומטי זעיר. What the packaging and the electrician's invoice say; אוטומט is what everyone says out loud.</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>The verb for tripping is קפץ, jumped. Textbook case of the dictionary word being useless in a shop.</div>	electrical colloquial high panel
<b>RCD / residual current device</b><div style='font-size:0.85em;color:#666'>Earth-leakage protection — mandatory in Israeli domestic installations.</div><div style='font-size:0.85em'><i>The RCD trips every time I turn on the boiler.</i></div>	<div dir='rtl' style='font-size:1.6em'>פחת</div><div style='color:#666'>pakhat</div><div style='font-size:0.85em;color:#888'>m</div><div dir='rtl' style='margin-top:0.5em'>הפחת יורד כל פעם שאני מדליק את הדוד.</div><div style='font-size:0.8em;color:#888;margin-top:0.4em'><span dir='rtl'>ממסר פחת</span> (formal) — Full form, on labels and in regulations. Shortened to just פחת in speech.</div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>פחת means loss or depletion, i.e. the leaked current. Verb for tripping is יורד or קפץ.</div>	electrical colloquial high panel
<b>consumer unit / distribution board</b><div style='font-size:0.85em;color:#666'>The board with the breakers in it.</div><div style='font-size:0.85em'><i>Where's the flat's consumer unit?</i></div>	<div dir='rtl' style='font-size:1.6em'>לוח חשמל</div><div style='color:#666'>luakh khashmal</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>לוחות חשמל</span></div><div dir='rtl' style='margin-top:0.5em'>איפה לוח החשמל של הדירה?</div>	electrical trade high panel
<b>socket / outlet</b><div style='font-size:0.85em;color:#666'>The thing on the wall you plug into.</div>	<div dir='rtl' style='font-size:1.6em'>שקע</div><div style='color:#666'>sheka</div><div style='font-size:0.85em;color:#888'>m · pl. <span dir='rtl'>שקעים</span></div><div style='font-size:0.8em;color:#a00;margin-top:0.5em'>Root שקע, to sink or recess — a flush one is שקע שקוע, a surface one שקע חיצוני or על הטיח.</div>	electrical trade high accessories
